Month,Avg\.Players,Gain,_Gain,PeakPlayers
Last 30 Days,"149,664.0","+8,402.8",+5.95%,"363,446"
"
					November 2021
				","141,261.2","-17,176.7",-10.84%,"341,570"
"
					October 2021
				","158,437.9","-8,664.2",-5.18%,"393,496"
"
					September 2021
				","167,102.1","-17,726.3",-9.59%,"400,709"
"
					August 2021
				","184,828.4","-1,421.6",-0.76%,"444,355"
"
					July 2021
				","186,250.0","+6,911.7",+3.85%,"413,274"
"
					June 2021
				","179,338.3","-5,362.9",-2.90%,"427,913"
"
					May 2021
				","184,701.2","-1,409.4",-0.76%,"419,509"
"
					April 2021
				","186,110.6","-7,003.5",-3.63%,"453,579"
"
					March 2021
				","193,114.2","-5,843.3",-2.94%,"464,480"
"
					February 2021
				","198,957.5","-2,289.7",-1.14%,"447,390"
"
					January 2021
				","201,247.2","+12,013.6",+6.35%,"451,998"
"
					December 2020
				","189,233.6","+9,713.3",+5.41%,"444,680"
"
					November 2020
				","179,520.3","+16,934.6",+10.42%,"438,919"
"
					October 2020
				","162,585.6","-6,508.1",-3.85%,"381,079"
"
					September 2020
				","169,093.7","-23,398.9",-12.16%,"403,693"
"
					August 2020
				","192,492.6","-19,207.7",-9.07%,"443,390"
"
					July 2020
				","211,700.3","-18,629.4",-8.09%,"469,568"
"
					June 2020
				","230,329.7","-12,929.0",-5.31%,"546,359"
"
					May 2020
				","243,258.8",+411.5,+0.17%,"553,121"
"
					April 2020
				","242,847.3","+14,380.1",+6.29%,"913,075"
"
					March 2020
				","228,467.2","-29,117.2",-11.30%,"562,028"
"
					February 2020
				","257,584.3","-17,778.7",-6.46%,"606,689"
"
					January 2020
				","275,363.0","-33,082.4",-10.73%,"645,414"
"
					December 2019
				","308,445.5","+2,786.1",+0.91%,"686,239"
"
					November 2019
				","305,659.4","+18,526.0",+6.45%,"695,920"
"
					October 2019
				","287,133.4","-24,310.9",-7.81%,"637,870"
"
					September 2019
				","311,444.3","-47,086.7",-13.13%,"660,864"
"
					August 2019
				","358,531.0","+5,642.1",+1.60%,"750,941"
"
					July 2019
				","352,888.9","-10,194.5",-2.81%,"745,224"
"
					June 2019
				","363,083.4","-22,757.2",-5.90%,"745,960"
"
					May 2019
				","385,840.6","-4,260.3",-1.09%,"817,595"
"
					April 2019
				","390,100.9","-27,711.6",-6.63%,"886,255"
"
					March 2019
				","417,812.5","-20,146.6",-4.60%,"931,407"
"
					February 2019
				","437,959.1","-59,844.2",-12.02%,"931,754"
"
					January 2019
				","497,803.3","+24,262.0",+5.12%,"1,084,606"
"
					December 2018
				","473,541.3","+55,381.8",+13.24%,"1,109,766"
"
					November 2018
				","418,159.5","-50,982.3",-10.87%,"895,650"
"
					October 2018
				","469,141.7","-73,465.3",-13.54%,"1,048,662"
"
					September 2018
				","542,607.1","-76,713.4",-12.39%,"1,125,229"
"
					August 2018
				","619,320.5","-69,299.9",-10.06%,"1,260,894"
"
					July 2018
				","688,620.4","-112,047.8",-13.99%,"1,350,463"
"
					June 2018
				","800,668.2","-75,512.4",-8.62%,"1,750,216"
"
					May 2018
				","876,180.6","-231,001.2",-20.86%,"2,175,704"
"
					April 2018
				","1,107,181.8","-188,226.8",-14.53%,"2,456,361"
"
					March 2018
				","1,295,408.6","-95,606.7",-6.87%,"2,799,269"
"
					February 2018
				","1,391,015.3","-193,871.5",-12.23%,"2,934,761"
"
					January 2018
				","1,584,886.8","+148,728.3",+10.36%,"3,236,027"
"
					December 2017
				","1,436,158.5","+101,988.4",+7.64%,"3,080,769"
"
					November 2017
				","1,334,170.1","+247,531.2",+22.78%,"2,915,723"
"
					October 2017
				","1,086,638.9","+426,446.1",+64.59%,"2,390,946"
"
					September 2017
				","660,192.7","+270,665.3",+69.49%,"1,550,463"
"
					August 2017
				","389,527.4","+159,825.7",+69.58%,"874,171"
"
					July 2017
				","229,701.7","+89,799.5",+64.19%,"481,291"
"
					June 2017
				","139,902.2","+32,460.6",+30.21%,"267,194"
"
					May 2017
				","107,441.6","+37,646.6",+53.94%,"189,456"
"
					April 2017
				","69,795.0","+52,243.8",+297.67%,"140,104"
"
					March 2017
				","17,551.1",-,-,"67,846"